"state";"district";"month";"1st";"2nd";"3rd";"4th";"5th";"6th";"7th";"8th";"9th";"10th";"11th";"12th";"13th";"14th";"15th";"16th";"17th";"18th";"19th";"20th";"21st";"22nd";"23rd";"24th";"25th";"26th";"27th";"28th";"29th";"30th";"31st"
"Andaman & Nicobar";"Nicobars";1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Andaman & Nicobar";"North And Middle Andaman";1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Andaman & Nicobar";"South Andamans";1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Andhra Pradesh";"Anantapur";1;0.379965;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.583012;0.00363682;0.387073;0.070735;0.279113;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.205834;0.671002;0.0289937;0.0;0.0;0.0
"Andhra Pradesh";"Chittoor";1;14.1449;0.857263;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.327153;2.12921;1.96523;1.11754;2.0034;0.405414;0.0;0.0;0.0;0.0;0.0;0.615237;0.925098;0.507623;0.424843;0.737394;0.0;0.0;0.0
"Andhra Pradesh";"East Godavari";1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.37622;8.92511;3.79459;0.545105;0.0435696;0.0;0.0;0.0;0.0;0.0;0.0;0.319552;1.61027;0.0;0.0;0.0;0.0;0.0;0.0
"Andhra Pradesh";"Guntur";1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.40667;17.7655;1.77973;1.62704;0.544262;0.280542;0.0;0.0;0.0;0.0;0.0;0.477695;0.0521405;0.0;0.172913;0.0;0.0;0.0;0.0
"Andhra Pradesh";"Krishna";1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.30968;14.5068;1.27003;0.21627;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.80144;0.317985;0.0;0.0212573;0.0;0.0;0.0;0.0
"Andhra Pradesh";"Kurnool";1;0.00140617;0.0448317;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00174504;0.0616708;0.000307715;4.92303;1.79555;0.296008;0.182612;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00285313;0.0;0.0;0.0;0.0
"Andhra Pradesh";"Prakasam";1;0.0548048;0.135938;0.0;0.0;0.0;0.0;0.324953;0.0;0.0;0.0;0.0;0.0168277;7.33049;9.35812;1.07089;3.10048;1.86144;3.32856;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.232919;0.0;0.0;0.0;0.0
"Andhra Pradesh";"SPSR Nellore";1;6.57924;0.835988;0.0;0.0;0.0;0.0;0.0646577;0.0;0.0;0.0;0.0;0.0;9.70019;10.0563;3.93499;4.85669;8.66936;5.77866;0.0;0.0;0.0;0.0;0.0;0.0;0.182266;0.649117;0.626881;4.27524;0.0;0.0;0.0
"Andhra Pradesh";"Srikakulam";1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.305722;1.76684;14.3197;1.014;0.0376182;0.0;0.0;0.0;0.0;0.0;0.00897044;0.0;0.0;1.11782;0.0;0.0;0.0;0.0;0.0;0.0
"Andhra Pradesh";"Visakhapatanam";1;0.0;0.0;0.0668668;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.027394;6.47372;13.2621;8.3857;2.37282;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0037062;3.4028;0.0;0.0;0.0;0.400497;0.0;0.205103
"Andhra Pradesh";"Vizianagaram";1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0290089;2.35771;10.0343;27.1922;7.77686;1.06228;0.0;0.0;0.0;0.0;0.0;0.174761;0.0;0.00130392;6.39604;0.0;0.0;0.0;0.0;0.0;0.0
"Andhra Pradesh";"West Godavari";1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.56943;10.7347;1.42965;0.0222876;0.0663459;0.0;0.0;0.0;0.0;0.0;0.0;0.376207;0.375043;0.0;0.0;0.0;0.0;0.0;0.0
